Fecha de emisión,Fecha de corte,"Cód. 
depto.",Departamento,No. de productores con acuerdos comerciales,No. de productores mujeres con acuerdos comerciales,No. de productores hombres con acuerdos comerciales,No. de productores sin definir,"Valor estimado de los acuerdos comerciales
 ($ millones)"
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,5,Antioquia,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,81,Arauca,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,13,Bolívar,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,15,Boyacá,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,17,Caldas,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,85,Casanare,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,19,Cauca,35,0,0,35,25600000
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,20,Cesar,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,23,Córdoba,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,25,Cundinamarca,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,41,Huila,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,44,La Guajira,31,0,0,31,14720000
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,47,Magdalena,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,50,Meta,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,52,Nariño,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,86,Putumayo,36,0,0,36,195000000
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,63,Quindío,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,66,Risaralda,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,70,Sucre,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,73,Tolima,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,76,Valle del Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,99,Vichada,0,0,0,0,0
12/15/2021 12:00:00 AM,01/31/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,5,Antioquia,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,81,Arauca,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,13,Bolívar,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,15,Boyacá,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,17,Caldas,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,85,Casanare,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,19,Cauca,132,0,0,132,544000000
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,20,Cesar,25,0,0,25,6300000
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,23,Córdoba,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,25,Cundinamarca,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,41,Huila,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,44,La Guajira,200,0,0,200,102273111
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,47,Magdalena,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,50,Meta,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,52,Nariño,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,86,Putumayo,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,63,Quindío,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,66,Risaralda,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,70,Sucre,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,73,Tolima,246,0,0,246,204160000
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,76,Valle del Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,99,Vichada,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,5,Antioquia,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,81,Arauca,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
